Timestamp,Date,USDT,USDC,PYUSD,USDe,DAI,FDUSD
1719100800,2024-06-23,112745185060,32299130350,280832914,3568547604,5120989095,1913801242
1719014400,2024-06-22,112768729394,32283135151,280498841,3571616138,5084623791,1914831453
1718928000,2024-06-21,112727670160,32197360451,275430643,3564620143,5098800443,1991235098
1718841600,2024-06-20,112422743974,32388264196,272902310,3529648212,5160797792,1992104325
1718755200,2024-06-19,112429308678,32367192421,269584304,3528080410,5172296115,2002894314
1718668800,2024-06-18,112434908442,32057726951,269743446,3531298483,5180465930,2068506827
1718582400,2024-06-17,112469528689,32080693809,284159837,3528621312,5150870396,2173602818
1718496000,2024-06-16,112404705952,32042724892,288930998,3523287929,5154077105,2168512983
1718409600,2024-06-15,112438892495,32295116493,289363673,3523337117,5134034035,2171183843
1718323200,2024-06-14,112360161557,32173434706,268898580,3487769006,5181064992,2330498736
1718236800,2024-06-13,112392502753,32001922533,269793385,3465391369,5204556378,2418064551
1718150400,2024-06-12,112403196183,31731991876,269745814,3443088868,5204660715,2555222893
1718064000,2024-06-11,112400182740,31702737300,269693747,3398126040,5212876396,2813738237
1717977600,2024-06-10,112352057250,31822150979,270388481,3387778259,5184011889,2897605662
1717891200,2024-06-09,112352062755,31808895978,270555365,3344432763,5174615173,2900819771
1717804800,2024-06-08,112364113019,31834632607,270524627,3278514029,5190507944,2903720590
1717718400,2024-06-07,112350781269,32124188766,270714259,3223686623,5180564897,2576066064
1717632000,2024-06-06,112315084780,32213231438,289892404,3150685265,5219307277,2383593964
1717545600,2024-06-05,112246152774,32015722403,272681316,3114764057,5173815563,2384255703
1717459200,2024-06-04,112253386803,31937088487,272677130,3072998356,5162614163,2433451871
1717372800,2024-06-03,111768176445,31991608304,272091154,3031572924,5194656885,2523281917
1717286400,2024-06-02,111742411880,31984423725,271980868,3017539137,5229972810,2526500212
1717200000,2024-06-01,111670666791,32034473251,272024903,2999994500,5220339281,2523790069
1717113600,2024-05-31,111547940808,31969707611,272009005,2974547681,5263202066,2539582552
1717027200,2024-05-30,111469246211,31803642258,272557728,2929994820,5236392346,2583212135
1716940800,2024-05-29,111440850787,31929465547,272710387,2898476729,5243169657,2616035997
1716854400,2024-05-28,111500832530,32177394906,272996364,2846858209,5249157238,2739804441
1716768000,2024-05-27,111560113627,32272615585,273147850,2793739458,5200819542,2762028432
1716681600,2024-05-26,111588108133,32347322158,272825339,2768568885,5219331611,2761962099
1716595200,2024-05-25,111550949298,32405022322,273108965,2749319722,5222833432,2766633038
1716508800,2024-05-24,111572269413,32401500028,273094087,2659186292,5213872930,2959213444
1716422400,2024-05-23,111427321786,32736190566,273090311,2571418179,5245088503,3035130182
1716336000,2024-05-22,111409831620,32723866746,273589709,2553767835,5251265002,3039800725
1716249600,2024-05-21,111052418306,32958614965,273582728,2503117954,5313462666,3154247282
1716163200,2024-05-20,111128449259,33131673925,270880228,2454550785,5438766692,3175133509
1716076800,2024-05-19,111124893148,33173429460,270696877,2440805745,5431507980,3185235984
1715990400,2024-05-18,111016525058,33075085306,270652084,2413316997,5364542858,3173404199
1715904000,2024-05-17,110899115803,32945131445,268017673,2345628796,5367325779,3246377678
1715817600,2024-05-16,110717237401,32887244589,245345189,2316334961,5392917861,3422604940
1715731200,2024-05-15,110662498986,32521671358,245128702,2313488586,5369062730,3428633279
1715644800,2024-05-14,110595556329,32748090146,245327782,2312796800,5398541999,3476989651
1715558400,2024-05-13,110573815188,32714015733,249547144,2301691105,5402548577,3430585976
1715472000,2024-05-12,110603634065,32726303585,249452386,2300932014,5397128932,3446929651
1715385600,2024-05-11,110519575313,32705820396,249690833,2299417858,5381660690,3440049552
1715299200,2024-05-10,110736343640,32712102979,244462373,2296762611,5375145999,3437049562
1715212800,2024-05-09,110741959662,32704070244,219636797,2292737781,5344453240,3455605359
1715126400,2024-05-08,110782806360,32866083377,218562206,2292033658,5297857143,3442376456
1715040000,2024-05-07,110932445060,32904422894,218176667,2291560881,5294016770,3484610662
1714953600,2024-05-06,110636188433,33235423826,192703622,2286378751,5381020141,3471347770
1714867200,2024-05-05,110745496055,33164514131,191949661,2289759260,5352339712,3470822198
1714780800,2024-05-04,110613549804,33082677920,192277120,2297061077,5256483075,3484090282
1714694400,2024-05-03,110314646299,32761048941,207052352,2298978834,5187097494,3527069130
1714608000,2024-05-02,110209255303,32626246394,191870539,2300403470,5129573483,3801252000
1714521600,2024-05-01,110376575387,32769862308,192395464,2331626119,5170669579,3822612760
1714435200,2024-04-30,110324811294,32568865450,166427539,2341697511,5192504776,3921460418
1714348800,2024-04-29,110265964617,32780032991,166823489,2347991517,5213369495,4039769253
1714262400,2024-04-28,110245517579,32782322939,166680608,2347686243,5226934763,4046423012
1714176000,2024-04-27,110235570648,32720618703,167081501,2352039104,5146377288,4039583304
1714089600,2024-04-26,110338434563,32808950493,168224050,2365663987,5147948912,4026747617
1714003200,2024-04-25,110356203973,32776174319,160402998,2364145987,5152864745,4034914565
1713916800,2024-04-24,110322541426,32771454550,161023746,2372794749,5178517750,3509423404
1713830400,2024-04-23,110176193831,33113780540,161491223,2375167544,5167770410,3375097474
1713744000,2024-04-22,109770538268,33254485927,161277289,2361155564,5106963483,3203769915
1713657600,2024-04-21,109834873894,30997534960,162310135,2363464797,5084628478,3210584423
1713571200,2024-04-20,109818107184,30952792378,165153465,2364867163,5031897940,3212875203
